point_type,point_id,x_ned,y_ned
100,0,-34.26373596723486,-60.830823467918904
100,1,-22.522086830828584,-20.03946564019938
100,2,-21.564463098421214,-16.04876564727686
100,3,-22.015269316586956,-10.113125271919504
100,4,-22.856352646753724,-7.095865774541526
100,5,-25.02427067333812,-3.831534005585338
100,6,-27.888551599181152,-1.060220655250216
100,7,-31.81007529801894,0.8976619793243188
100,8,-37.515326038394306,2.945767511585359
100,9,-41.5842172485526,3.827757081480108
100,0,-38.508404377363654,18.30157702889272
100,1,-32.760353503121756,16.236696396204554
100,2,-27.617817486467914,15.0539883978709
100,3,-22.721030314627036,14.509599241821856
100,4,-18.870765493180127,15.26035949589907
100,5,-16.1868588757461,16.34729146563596
100,6,-14.759603152152943,16.939158587328638
100,7,-11.447744237695334,20.28688234218676
100,8,-8.839189816052608,25.150362623138992
100,9,-6.972068985710555,31.41693284773979
100,10,-4.419689146311764,40.1678254001103
100,11,-1.8992856399258753,48.277959145973554
100,0,-3.470291468272414,-82.9609545713151
100,1,-0.5096388510443721,-74.30992471623756
100,2,1.51062355643726,-67.93255037587795
100,3,2.717064619882699,-62.46482827288017
100,4,3.372256560406011,-56.5374782455618
100,5,4.704855934252265,-48.75058213719148
100,6,6.229756584787037,-41.22111782638598
100,7,7.6495461595687395,-35.91709424853312
100,8,9.829347040479975,-30.385425026074373
100,9,13.874641795589104,-25.624065895468725
100,10,18.609739066752354,-22.827158017234513
100,11,23.639759442485943,-21.904521482132722
100,12,28.966012066151347,-21.895910374617515
100,13,35.82347796825572,-22.87941499805528
100,14,41.665520190482304,-23.990143944636365
100,15,47.632783222489024,-24.717504601781073
100,0,49.05538823270712,-3.3935811467515915
100,1,43.71597486558367,-2.726641903100795
100,2,37.49737806045627,-1.2385175179933547
100,3,33.200494700994824,-0.4405566400717049
100,4,29.402871431476967,1.0694276268195537
100,5,25.96919106117928,3.3309107136570866
100,6,23.48255356659066,6.895421699127301
100,7,22.309237682947312,11.097571760352565
100,8,22.021824906047723,15.926687424161653
100,9,23.66309810383207,22.984950977503214
100,10,25.43664031364356,29.037903680708975
100,11,27.646370445506168,35.59813735416624
100,12,29.124375651691494,40.63981757896137
300,0,9.317157053320443,-30.239003136225023
300,1,-5.075504541333567,-25.85014954412887
300,0,-7.599169220025628,-24.99150995915528
300,1,-22.522086830828584,-20.03946564019938
300,0,-24.21755307300691,-25.712443126627484
300,1,-9.540317999306241,-30.864502726385712
300,0,-6.988955955040325,-31.594181925658944
300,1,7.484974343594299,-36.00636780024713
300,0,21.32627700028899,15.98064778779744
300,1,7.61915676534521,20.173689765587458
300,0,22.967896868384212,21.5862834477002
300,1,9.482598720724644,25.716208433594385
300,0,-6.877506693500484,31.24488933497827
300,1,6.416813612273113,26.444148825355096
300,0,4.8630653808336906,20.958800991282313
300,1,-8.970370378329797,25.187730477884
300,0,-32.0682320951985,0.9713610361510199
300,1,-28.138164516648093,15.202376229108001
300,0,-37.515326038394306,2.945767511585359
300,1,-33.965429853393005,16.438492532336443
300,0,10.961153603062034,31.4050028008438
300,1,24.3552193840436,27.30096786474554
300,0,-40.229446581173434,11.157866071885856
300,1,-38.638443921390966,18.338660149056157
300,0,36.554635545451525,-1.5393000614779062
300,1,34.317641253824576,-9.829949391750032
300,0,33.93476331833203,-11.55330359111407
300,1,31.27688188630419,-22.13820253799296
300,0,36.379438972249396,-22.89882704116402
300,1,38.94832468322437,-12.702193607839966
300,0,39.50573708995566,-10.886773529222141
300,1,41.686253804879165,-2.860130902002062
300,0,-13.177984725705702,-35.93926906738547
300,1,-25.693577424093707,-32.087397423443974
