point_type,point_id,x_ned,y_ned,latitude,longitude,origin_latitude,origin_longitude
100,0,-30.98161874169392,-9.32240372395825,30.394248685769057,-88.90167808874615,30.394527,-88.901581
100,1,-29.086915375401325,-10.925858704866616,30.39426570627772,-88.90169478802653,30.394527,-88.901581
100,2,-26.894173677729274,-11.666646017858032,30.394285404125803,-88.9017025030015,30.394527,-88.901581
100,3,-25.67570851997257,-11.452529142185103,30.39429634984804,-88.90170027306814,30.394527,-88.901581
100,4,-24.858575548050574,-11.169823879590655,30.394303690321003,-88.90169732881682,30.394527,-88.901581
100,5,-23.843239404739457,-10.460048298643745,30.394312811293673,-88.90168993681544,30.394527,-88.901581
100,6,-22.923851836154896,-9.576051169866307,30.394321070340634,-88.90168073037306,30.394527,-88.901581
100,7,-22.324640095966195,-8.556065408390747,30.394326453182508,-88.90167010766869,30.394527,-88.901581
100,8,-21.857641990996868,-7.045555279860007,30.394330648322196,-88.90165437636819,30.394527,-88.901581
100,9,-21.82901318557426,-5.495073165830608,30.394330905500624,-88.90163822877697,30.394527,-88.901581
100,10,-22.097813548952317,-3.762334470151809,30.39432849081187,-88.90162018306341,30.394527,-88.901581
100,11,-22.968289537180826,3.8397458020175046,30.39432067114766,-88.9015410107315,30.394527,-88.901581
100,12,-23.08976368183978,4.237622618402199,30.39431957992052,-88.90153686701896,30.394527,-88.901581
100,0,-16.007862771234002,4.999074266055381,30.394383198087862,-88.90152893683401,30.394527,-88.901581
100,1,-14.958507870249466,-1.9450111121895715,30.394392624658003,-88.90160125643769,30.394527,-88.901581
100,2,-14.312646563468975,-3.4660668617459036,30.394398426562496,-88.9016170975662,30.394527,-88.901581
100,3,-13.53945021063591,-4.518065740687664,30.3944053723438,-88.90162805367315,30.394527,-88.901581
100,4,-12.519860271255792,-5.349774871974194,30.394414531529197,-88.90163671555898,30.394527,-88.901581
100,5,-11.707874777634062,-6.061029214354793,30.394421825761306,-88.901644122961,30.394527,-88.901581
100,6,-10.68017097709525,-6.237288928812166,30.394431057835178,-88.90164595862863,30.394527,-88.901581
100,7,-9.110143306570183,-6.368663344420913,30.394445161715524,-88.90164732683554,30.394527,-88.901581
100,8,-6.9525694104241795,-5.908155463575806,30.394464543644034,-88.90164253084794,30.394527,-88.901581
