pixel_x,pixel_y,lat_deg,lon_deg,origin_lat_deg,origin_lon_deg
1205, 590, 32.606574, -85.481926, 32.606561, -85.482366
 455, 480, 32.606395, -85.481866, 32.606561, -85.482366
  35, 565, 32.606409, -85.481725, 32.606561, -85.482366
 800, 653, 32.606532, -85.481846, 32.606561, -85.482366
