pixel_x,pixel_y,lat_deg,lon_deg,origin_lat_deg,origin_lon_deg
 68, 349, 32.606561, -85.482366, 32.606561, -85.482366
705, 594, 32.606395, -85.481866, 32.606561, -85.482366
886, 345, 32.606558, -85.481720, 32.606561, -85.482366
931, 578, 32.606403, -85.481687, 32.606561, -85.482366
