point_type,point_id,x_ned,y_ned,latitude,longitude,origin_latitude,origin_longitude
100,0,28.32988868178967,11.907653629964322,43.21283969459788,27.904125939491415,43.212585201401545,27.903979169163517
100,1,20.70910595735579,3.8647893141527794,43.212771235544764,27.9040268054496,43.212585201401545,27.903979169163517
100,2,16.014139483785975,-0.556672632808656,43.21272905969868,27.903972307776094,43.212585201401545,27.903979169163517
100,3,15.22489105697015,-1.4076484654900696,43.2127219697183,27.903961818891727,43.212585201401545,27.903979169163517
100,4,14.34304767282856,-2.4114576699463237,43.21271404793845,27.903949446227,43.212585201401545,27.903979169163517
100,5,13.580389226242087,-3.455091171152461,43.21270719682131,27.903936582699394,43.212585201401545,27.903979169163517
100,6,12.941595736221672,-4.533275143020745,43.21270145840847,27.903923293312584,43.212585201401545,27.903979169163517
100,7,12.37207575736415,-5.738227805257665,43.212696342293775,27.903908441411208,43.212585201401545,27.903979169163517
100,8,11.775473595093267,-6.988094345150268,43.21269098289427,27.90389303591424,43.212585201401545,27.903979169163517
100,9,11.47935081174716,-8.45111740521618,43.21268832276262,27.903875003111057,43.212585201401545,27.903979169163517
100,10,11.412674567611775,-9.983914983728065,43.21268772379625,27.90385611028715,43.212585201401545,27.903979169163517
100,11,11.460036340296767,-11.29550964947417,43.21268814925676,27.903839943946984,43.212585201401545,27.903979169163517
100,12,11.60226871003946,-12.643693713696287,43.212689426959294,27.903823326616372,43.212585201401545,27.903979169163517
100,13,11.929245344080082,-14.0800223898741,43.21269236425741,27.903805622840522,43.212585201401545,27.903979169163517
100,14,12.181791711142779,-15.37235312723299,43.212694632933186,27.90378969394202,43.212585201401545,27.903979169163517
100,15,12.63491751348188,-16.6937839806059,43.21269870345514,27.903773406363822,43.212585201401545,27.903979169163517
100,16,13.135234542436026,-18.06843479148161,43.21270319790555,27.90375646281167,43.212585201401545,27.903979169163517
100,17,13.737311178448449,-19.577799138473946,43.21270860648337,27.903737858819063,43.212585201401545,27.903979169163517
100,18,14.504927152359473,-21.07315849879653,43.21271550213499,27.903719427447907,43.212585201401545,27.903979169163517
100,19,16.032394486884407,-23.547683191569728,43.21272922368711,27.90368892716533,43.212585201401545,27.903979169163517
100,0,22.006037616633357,22.950720346601123,43.212782886147664,27.904262053168665,43.212585201401545,27.903979169163517
100,1,17.927908111954046,18.71256180790143,43.2127462514745,27.904209814840467,43.212585201401545,27.903979169163517
100,2,13.703196191730484,15.255556171946688,43.212708300021454,27.904167204779196,43.212585201401545,27.903979169163517
100,3,10.850275327536464,13.63769969276813,43.212682671648615,27.904147263543642,43.212585201401545,27.903979169163517
100,4,8.097955908804067,13.689198034554732,43.21265794699918,27.904147898297452,43.212585201401545,27.903979169163517
100,5,4.569650404613135,14.938518994775016,43.21262625150769,27.90416329706976,43.212585201401545,27.903979169163517
100,6,2.6345102847876447,16.302426254458652,43.212608867747385,27.904180108199977,43.212585201401545,27.903979169163517
100,7,1.4366529589185646,17.50670212863237,43.212598107149525,27.904194951759457,43.212585201401545,27.903979169163517
100,8,0.10835522273993804,19.464242132083786,43.21258617477872,27.904219079836835,43.212585201401545,27.903979169163517
100,9,-0.7095830346836891,21.139978965817786,43.21257882707171,27.90423973448906,43.212585201401545,27.903979169163517
100,10,-0.9668044090468796,22.04590848999248,43.21257651639939,27.90425090071689,43.212585201401545,27.903979169163517
100,11,-7.8545062586409955,38.28868077452029,43.21251464276202,27.9044511044756,43.212585201401545,27.903979169163517
100,0,-25.45727658280464,24.653456238049962,43.21235651346845,27.904283040603545,43.212585201401545,27.903979169163517
100,1,-17.015062909782017,5.533845421794695,43.21243235160413,27.90404737775711,43.212585201401545,27.903979169163517
100,2,-16.320754385472213,3.73870425166821,43.212438588719905,27.904025251361233,43.212585201401545,27.903979169163517
100,3,-15.893518144799742,2.0546047850812243,43.21244242667062,27.90400449363359,43.212585201401545,27.903979169163517
100,4,-15.720610818696798,0.4652695812343879,43.212443979932566,27.903984903943105,43.212585201401545,27.903979169163517
100,5,-16.03721778353892,-0.9929009278531353,43.212441135787316,27.90396693095108,43.212585201401545,27.903979169163517
100,6,-16.230863924567316,-2.235852690010475,43.21243939622434,27.90395161068368,43.212585201401545,27.903979169163517
100,7,-16.82584110017963,-3.6908772428141745,43.21243405142243,27.903933676467812,43.212585201401545,27.903979169163517
100,8,-17.50438431617755,-4.830667335594832,43.21242795592965,27.9039196277416,43.212585201401545,27.903979169163517
100,9,-18.18307326380277,-5.970702222606818,43.21242185912774,27.903905575998127,43.212585201401545,27.903979169163517
100,10,-19.151994280667097,-7.1424414602922255,43.212413155111655,27.90389113347591,43.212585201401545,27.903979169163517
100,11,-20.00539231279471,-8.117842566413081,43.212405488862224,27.90387911096126,43.212585201401545,27.903979169163517
100,12,-21.0795136701214,-8.999159560778587,43.21239583980993,27.903868248100427,43.212585201401545,27.903979169163517
100,13,-31.928382367186003,-14.873582538485081,43.21229838219891,27.903795841645433,43.212585201401545,27.903979169163517
100,0,2.3213585791008664,-43.47101606414057,43.212606054641434,27.903443357871044,43.212585201401545,27.903979169163517
100,1,-3.340788740061498,-29.524948930215945,43.212555190411585,27.90361525309992,43.212585201401545,27.903979169163517
100,2,-3.9947492713387613,-27.785077291274675,43.2125493157501,27.903636698259387,43.212585201401545,27.903979169163517
100,3,-5.751913174976253,-26.12520937081107,43.21253353078662,27.903657157315934,43.212585201401545,27.903979169163517
100,4,-7.555202122161972,-24.83511648477245,43.21251733147242,27.903673058631323,43.212585201401545,27.903979169163517
